in,rank,accesses,reads,writes
152865,794,95,14,81
220421,795,94,89,5
215281,796,93,66,27
218272,797,93,93,0
220490,798,93,92,1
218256,799,92,92,0
220547,800,92,86,6
247952,801,92,28,64
249793,802,91,33,58
215260,803,91,40,51
247949,804,89,67,22
249791,805,89,78,11
40098,806,89,89,0
220650,807,89,70,19
149528,808,88,88,0
247956,809,88,49,39
218907,810,87,87,0
218908,811,87,87,0
218906,812,87,87,0
152260,813,86,40,46
247940,814,86,59,27
242454,815,86,86,0
149544,816,86,86,0
149545,817,86,86,0
149547,818,86,86,0
215274,819,86,29,57
221137,820,86,76,10
215277,821,85,60,25
149542,822,85,85,0
149548,823,85,85,0
220487,824,85,77,8
197785,825,84,84,0
143101,826,84,84,0
149540,827,84,84,0
149546,828,84,84,0
210309,829,83,83,0
210310,830,83,83,0
210311,831,83,83,0
210312,832,83,83,0
210313,833,83,83,0
210314,834,83,83,0
210315,835,83,83,0
210316,836,83,83,0
210317,837,83,83,0
210318,838,83,83,0
210306,839,83,83,0
149539,840,83,83,0
261462,841,82,82,0
149529,842,82,82,0
157745,843,82,82,0
249792,844,81,41,40
242458,845,81,81,0
242459,846,81,81,0
242460,847,81,81,0
242461,848,81,81,0
242462,849,81,81,0
242463,850,81,81,0
242464,851,81,81,0
242465,852,81,81,0
26856,853,81,27,54
220675,854,81,75,6
152302,855,81,22,59
149549,856,81,81,0
149550,857,81,81,0
152428,858,81,39,42
262204,859,80,80,0
218281,860,80,80,0
212649,861,80,80,0
149538,862,80,80,0
149541,863,80,80,0
227414,864,80,80,0
227415,865,80,80,0
246946,866,79,79,0
246947,867,79,79,0
246948,868,79,79,0
246949,869,79,79,0
247146,870,79,79,0
247020,871,79,79,0
247021,872,79,79,0
247022,873,79,79,0
247023,874,79,79,0
247024,875,79,79,0
247025,876,79,79,0
247026,877,79,79,0
247027,878,79,79,0
247028,879,79,79,0
247029,880,79,79,0
247030,881,79,79,0
247031,882,79,79,0
247032,883,79,79,0
247033,884,79,79,0
247034,885,79,79,0
247035,886,79,79,0
247005,887,79,79,0
247006,888,79,79,0
247007,889,79,79,0
247008,890,79,79,0
247009,891,79,79,0
247010,892,79,79,0
247011,893,79,79,0
247012,894,79,79,0
247013,895,79,79,0
247014,896,79,79,0
247015,897,79,79,0
247016,898,79,79,0
247017,899,79,79,0
247018,900,79,79,0
247019,901,79,79,0
246879,902,79,79,0
246880,903,79,79,0
246881,904,79,79,0
246882,905,79,79,0
246883,906,79,79,0
246884,907,79,79,0
246885,908,79,79,0
246886,909,79,79,0
246887,910,79,79,0
246888,911,79,79,0
246889,912,79,79,0
246890,913,79,79,0
246891,914,79,79,0
246892,915,79,79,0
246893,916,79,79,0
246894,917,79,79,0
246896,918,79,79,0
246897,919,79,79,0
246898,920,79,79,0
246899,921,79,79,0
246900,922,79,79,0
246901,923,79,79,0
